fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,x_oneFixAhead_f,y_curFix_f,y_oneFixAhead_f
3,4,965,2147,0,326.4423828125,322.701446533203,13567564,13567656,14.751640565711,2.91333340325953,-14.8441273404176,2.91333340325953,-11.6217927932739,-14.2380952835083,9.77015590667725,1.56507933139801
4,4,965,2147,0,502.047119140625,635.4541015625,13567726,13568043,14.751640565711,2.91333340325953,-14.8441273404176,2.91333340325953,-14.1882486343384,3.62857151031494,2.24173283576965,9.96507930755615
1,3,966,2148,1,415.360443115234,402.785278320313,13573321,13573525,2.91333340325953,-8.92497375919189,-3.00582017796618,8.83248698448524,-0.0289449691772461,5.12857151031494,-0.485084027051926,-9.26825428009033
2,3,966,2148,0,620.271362304688,653.889770507813,13573633,13574583,2.91333340325953,-8.92497375919189,-3.00582017796618,8.83248698448524,5.26492643356323,-11.5714292526245,-8.27731800079346,3.0650794506073
3,3,966,2148,0,389.711273193359,392.224304199219,13574667,13574923,2.91333340325953,-8.92497375919189,-3.00582017796618,8.83248698448524,-10.5456495285034,-2.77142882347107,2.48890709877014,9.93174648284912
1,5,967,2149,0,483.574554443359,514.127075195313,13580589,13580859,-3.00582017796618,8.83248698448524,20.6707941469367,-14.8441273404176,-0.217848300933838,-14.204761505127,-0.512204766273499,2.5650794506073
2,5,967,2149,1,433.533264160156,433.446258544922,13580937,13581107,-3.00582017796618,8.83248698448524,20.6707941469367,-14.8441273404176,-13.4774980545044,-3.17142868041992,2.97194170951843,9.63174629211426
3,5,967,2149,0,251.99267578125,322.292510986328,13581179,13581981,-3.00582017796618,8.83248698448524,20.6707941469367,-14.8441273404176,-3.79092502593994,-4.60476160049438,9.10174560546875,0.931746006011963
4,5,967,2149,0,351.662719726563,354.014129638672,13582081,13582179,-3.00582017796618,8.83248698448524,20.6707941469367,-14.8441273404176,-4.55816316604614,-10.2380952835083,1.10045349597931,-6.56825399398804
5,5,967,2149,0,133.81770324707,148.91487121582,13582255,13582512,-3.00582017796618,8.83248698448524,20.6707941469367,-14.8441273404176,-9.86352062225342,-12.7380952835083,-6.08200216293335,-4.50158739089966
1,4,968,2150,0,411.950256347656,412.399230957031,13587747,13587962,-14.8441273404176,-3.00582017796618,2.91333340325953,8.83248698448524,0.0465559177100658,3.36190485954285,-1.41972732543945,9.66508007049561
