fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,x_oneFixAhead_f,y_curFix_f,y_oneFixAhead_f
1,4,1469,2990,1,957.106323242188,541.376831054688,18714942,18715171,2.88980849337772,-14.7242623234008,20.5038793101562,-8.8529053844746,0.469411760568619,3.15238094329834,0.177940905094147,-14.1325407028198
2,4,1469,2990,0,89.7408599853516,114.011299133301,18715407,18715653,2.88980849337772,-14.7242623234008,20.5038793101562,-8.8529053844746,3.31850552558899,5.01904773712158,-13.5854043960571,-14.1992063522339
3,4,1469,2990,0,831.489562988281,820.213623046875,18715692,18715971,2.88980849337772,-14.7242623234008,20.5038793101562,-8.8529053844746,5.46063041687012,-11.7809524536133,-14.3253450393677,3.33412718772888
4,4,1469,2990,0,236.717575073242,238.139099121094,18716057,18716503,2.88980849337772,-14.7242623234008,20.5038793101562,-8.8529053844746,-11.0309457778931,-12.4809532165527,2.9024384021759,-2.79920649528503
1,7,1470,2996,0,315.069732666016,336.285003662109,18748666,18748952,14.63252237123,-2.98154844554844,2.88980849337772,14.63252237123,0.809607207775116,-8.08095264434814,0.0654788166284561,-2.3992063999176
2,7,1470,2996,0,657.64697265625,655.432678222656,18749024,18749204,14.63252237123,-2.98154844554844,2.88980849337772,14.63252237123,-8.02132225036621,3.75238108634949,-2.42994713783264,11.9674606323242
3,7,1470,2996,0,173.012817382813,159.948226928711,18749285,18749537,14.63252237123,-2.98154844554844,2.88980849337772,14.63252237123,3.82500076293945,4.98571443557739,11.5439071655273,15.3007936477661
4,7,1470,2996,0,902.656127929688,857.204284667969,18749590,18749746,14.63252237123,-2.98154844554844,2.88980849337772,14.63252237123,4.96007108688354,14.7857141494751,15.3063659667969,-8.69920635223389
5,7,1470,2996,0,203.393829345703,218.189498901367,18749834,18750015,14.63252237123,-2.98154844554844,2.88980849337772,14.63252237123,14.6976861953735,17.3190479278564,-7.64377403259277,-2.46587300300598
6,7,1470,2996,0,1105.82434082031,1007.86120605469,18750081,18750285,14.63252237123,-2.98154844554844,2.88980849337772,14.63252237123,17.388650894165,-10.5809526443481,-2.56227850914001,12.2674608230591
7,7,1470,2996,0,656.352600097656,624.099060058594,18750370,18750607,14.63252237123,-2.98154844554844,2.88980849337772,14.63252237123,-9.41161632537842,8.51904773712158,11.7671709060669,12.7674608230591
1,5,1471,2997,0,388.401550292969,388.679260253906,18756750,18757008,-20.5956192623269,14.63252237123,20.5038793101562,-2.98154844554844,0.337394028902054,4.4523811340332,-0.390549868345261,-10.0992059707642
2,5,1471,2997,0,971.314514160156,917.474731445313,18757078,18757198,-20.5956192623269,14.63252237123,20.5038793101562,-2.98154844554844,4.80043268203735,-11.4142866134644,-9.60948085784912,13.5341272354126
3,5,1471,2997,1,212.721923828125,213.172805786133,18757325,18757466,-20.5956192623269,14.63252237123,20.5038793101562,-2.98154844554844,-11.5109825134277,-17.0142860412598,13.4461946487427,14.8007936477661
4,5,1471,2997,0,114.9072265625,138.261611938477,18757525,18758268,-20.5956192623269,14.63252237123,20.5038793101562,-2.98154844554844,-16.9695568084717,-20.0476207733154,14.5888166427612,15.7341270446777
5,5,1471,2997,0,685.126281738281,781.002136230469,18758327,18758535,-20.5956192623269,14.63252237123,20.5038793101562,-2.98154844554844,-20.08962059021,-2.04761910438538,15.8214530944824,0.0341269709169865
1,4,1472,2998,1,419.105346679688,434.446929931641,18764583,18764808,-8.8529053844746,-8.8529053844746,8.76116543230388,14.63252237123,0.184529185295105,-7.81428527832031,-0.419057995080948,-9.23253917694092
2,4,1472,2998,0,165.827606201172,182.979568481445,18764886,18765598,-8.8529053844746,-8.8529053844746,8.76116543230388,14.63252237123,-7.56443405151367,-12.4476194381714,-8.47663021087646,-8.39920616149902
3,4,1472,2998,0,686.935424804688,761.908874511719,18765666,18765886,-8.8529053844746,-8.8529053844746,8.76116543230388,14.63252237123,-12.2318725585938,-9.68095207214355,-8.3408842086792,14.1341276168823
4,4,1472,2998,0,752.56689453125,706.021301269531,18765979,18766204,-8.8529053844746,-8.8529053844746,8.76116543230388,14.63252237123,-9.476806640625,11.0190477371216,13.2584180831909,15.8341264724731
1,4,1473,2999,1,526.609191894531,514.086364746094,18771896,18772459,-2.98154844554844,-14.7242623234008,14.63252237123,8.76116543230388,0.673754930496216,-1.5142856836319,-0.0561631359159946,-14.0325393676758
2,4,1473,2999,0,130.492065429688,136.483840942383,18772530,18772768,-2.98154844554844,-14.7242623234008,14.63252237123,8.76116543230388,-1.32576954364777,0.185714289546013,-13.2346343994141,-15.5325393676758
3,4,1473,2999,0,820.194458007813,784.800537109375,18772826,18773290,-2.98154844554844,-14.7242623234008,14.63252237123,8.76116543230388,0.185570597648621,-8.64761829376221,-15.4398651123047,6.36746025085449
4,4,1473,2999,0,863.712524414063,807.852783203125,18773372,18773663,-2.98154844554844,-14.7242623234008,14.63252237123,8.76116543230388,-8.01428890228271,15.6857147216797,5.62576818466187,11.6007947921753
1,14,1474,3000,0,448.730651855469,451.876525878906,18778662,18778923,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,0.270771831274033,-10.0809526443481,0.361457198858261,7.00079393386841
2,14,1474,3000,0,436.311218261719,436.398468017578,18779001,18779208,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,-9.68996906280518,-8.5476188659668,6.89515924453735,-4.93253946304321
3,14,1474,3000,0,871.685607910156,823.054321289063,18779282,18779494,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,-8.53064823150635,7.71904802322388,-4.27467679977417,14.3007936477661
4,14,1474,3000,0,196.698745727539,200.383575439453,18779577,18779761,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,7.07611608505249,11.6523809432983,13.4591407775879,15.2674608230591
5,14,1474,3000,0,915.96044921875,889.029541015625,18779822,18780135,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,11.6966943740845,-15.6809530258179,15.268627166748,13.6341276168823
6,14,1474,3000,0,678.692993164063,665.129150390625,18780222,18780384,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,-14.7408399581909,-16.1476192474365,13.5870161056519,-5.39920663833618
7,14,1474,3000,0,110.454139709473,109.823043823242,18780460,18780612,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,-15.8671226501465,-17.6476192474365,-4.53385734558105,-2.3992063999176
8,14,1474,3000,0,856.870300292969,825.654968261719,18780661,18781013,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,-17.7815380096436,6.91904830932617,-2.35318541526794,1.46746051311493
9,14,1474,3000,0,604.359252929688,611.123413085938,18781101,18781231,20.5038793101562,-2.98154844554844,8.76116543230388,14.63252237123,6.03648710250854,12.8190469741821,1.39643394947052,17.600793838501
